ibdid,Effect,EffectVar,ModelFreq,WindowFreq,GeneFreq,GenVar,EffectDelta1,SDDelta1,t.like,shrink,chr,pos,file,trait,mode,tsf
3_186233133,-1.783,16.15754,0.1226,0.1321,0.044,0.2672342,-14.5469,14.8269,0.981,0.949,3,186233133,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
3_194600496,1.942,13.23373,0.116,0.1201,0.021,0.1565235,16.7371,17.4512,0.959,0.972,3,194600496,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
3_195379269,-1.291,9.958801,0.0882,0.093,0.045,0.1422261,-14.6318,15.3193,0.955,0.949,3,195379269,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
3_55349037,-1.362,8.049845,0.0663,0.0716,0.046,0.1635916,-20.547,21.4339,0.959,0.941,3,55349037,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
3_89036371,6.05,36.28492,0.28,0.2839,0.027,1.941736,21.6054,21.1967,1.019,0.976,3,89036371,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
3_92539652,4.303,24.39055,0.1899,0.1953,0.028,1.008915,22.6594,22.9719,0.986,0.976,3,92539652,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
5_195109060,-2.568,21.12683,0.172,0.1797,0.044,0.5541109,-14.9309,15.1744,0.984,0.945,5,195109060,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
5_209683693,1.335,8.966975,0.1043,0.1115,0.097,0.3123227,12.8036,13.2568,0.966,0.984,5,209683693,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
5_214081306,26.16,118.1926,1,1,0.021,28.42119,26.1619,5.55769,4.707,0.973,5,214081306,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
5_59267140,-6.408,39.03162,0.3173,0.3213,0.045,3.563735,-20.1968,19.84,1.018,0.931,5,59267140,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
8_115900398,6.041,35.78861,0.3136,0.3189,0.021,1.51521,19.2623,18.8838,1.02,0.972,8,115900398,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
8_123608854,7.197,48.06237,0.3987,0.4045,0.072,6.919435,18.0517,17.0394,1.059,0.976,8,123608854,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
1_262294090,-7.848,20.59713,0.9459,0.9471,0.271,24.34979,-8.29721,3.13777,2.644,0.959,1,262294090,slurm-scripts/wholeset/dts_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,BPHmax
2_178609181,-1.545,4.279035,0.1395,0.1465,0.079,0.3466981,-11.0784,11.3447,0.977,0.928,2,178609181,slurm-scripts/wholeset/dts_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,BPHmax
6_149467141,1.246,4.031773,0.1457,0.3362,0.158,0.4123387,8.55346,8.75721,0.977,0.959,6,149467141,slurm-scripts/wholeset/dts_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,BPHmax
6_149470325,1.304,3.485978,0.1842,0.3357,0.178,0.4978366,7.08048,7.1356,0.992,0.965,6,149470325,slurm-scripts/wholeset/dts_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,BPHmax
7_136374387,-4.789,14.38082,0.7392,0.7427,0.368,10.67153,-6.47902,4.562,1.42,0.981,7,136374387,slurm-scripts/wholeset/dts_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,BPHmax
8_147721160,0.8676,3.009739,0.1722,0.3108,0.117,0.1560015,5.03804,5.08413,0.991,0.979,8,147721160,slurm-scripts/wholeset/dts_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,BPHmax
8_147755467,0.9077,3.196651,0.1325,0.311,0.087,0.1310666,6.85089,6.98581,0.981,0.971,8,147755467,slurm-scripts/wholeset/dts_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,BPHmax
1_262460587,-1.938,17.78376,0.1161,0.1207,0.019,0.1396061,-16.6946,17.178,0.972,0.975,1,262460587,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
1_278022438,-2.102,17.00132,0.1109,0.1184,0.021,0.1835325,-18.9572,19.7608,0.959,0.976,1,278022438,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
1_42520476,-3.022,17.927,0.1476,0.1523,0.027,0.4844483,-20.4721,21.1576,0.968,0.971,1,42520476,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
2_216324069,1.569,15.94009,0.0984,0.1049,0.031,0.1481862,15.9456,16.545,0.964,0.977,2,216324069,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
2_44264660,4.532,31.87944,0.2111,0.2182,0.046,1.810182,21.4661,21.5599,0.996,0.925,2,44264660,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
2_51098756,-7.573,47.76781,0.3498,0.3522,0.017,1.963518,-21.6482,20.8411,1.039,0.971,2,51098756,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
3_155857013,-0.7749,8.830246,0.0611,0.0749,0.122,0.1286255,-12.6831,13.2726,0.956,0.982,3,155857013,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
3_167012614,-3.989,22.39012,0.1771,0.1825,0.03,0.9126075,-22.5256,22.7456,0.99,0.972,3,167012614,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
3_194600496,-2.238,18.22112,0.1223,0.1297,0.021,0.2079447,-18.2977,18.606,0.983,0.976,3,194600496,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
5_209714468,1.573,11.89141,0.0977,0.1061,0.043,0.2044965,16.1016,16.5287,0.974,0.977,5,209714468,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
5_214081306,-29.71,121.6247,0.8702,0.8709,0.021,36.65923,-34.1445,18.4503,1.851,0.974,5,214081306,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
6_109880255,-3.194,21.78096,0.1492,0.1575,0.021,0.4235595,-21.4061,21.7157,0.986,0.975,6,109880255,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
6_142594436,-2.014,13.35672,0.1121,0.1172,0.022,0.1742397,-17.9624,18.3395,0.979,0.97,6,142594436,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
6_7052633,-2.238,19.97262,0.1578,0.1729,0.057,0.5367756,-14.1818,14.4207,0.983,0.984,6,7052633,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
6_87790611,-5.309,30.35952,0.2589,0.2643,0.067,3.508052,-20.5075,20.5422,0.998,0.969,6,87790611,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
7_28356340,2.392,19.66603,0.154,0.1596,0.036,0.4008688,15.5301,15.8085,0.982,0.967,7,28356340,slurm-scripts/wholeset/dts_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmin
1_262294090,5.888,19.22691,0.6778,0.6805,0.271,13.70418,8.68669,6.69873,1.297,0.916,1,262294090,slurm-scripts/wholeset/dts_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,BPHmin
1_262510936,2.298,7.093072,0.0951,0.1038,0.039,0.3922817,24.1636,27.1909,0.889,0.726,1,262510936,slurm-scripts/wholeset/dts_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,BPHmin
1_265449758,3.4,9.5862,0.4357,0.4434,0.123,2.502351,7.8034,7.29192,1.07,0.937,1,265449758,slurm-scripts/wholeset/dts_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,BPHmin
1_35043673,1.114,2.799269,0.0768,0.0962,0.138,0.2952523,14.5107,15.4492,0.939,0.75,1,35043673,slurm-scripts/wholeset/dts_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,BPHmin
3_35736981,0.9949,3.456056,0.1076,0.1289,0.127,0.2198892,9.24629,9.65217,0.958,0.906,3,35736981,slurm-scripts/wholeset/dts_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,BPHmin
5_185659006,0.8529,2.680997,0.0569,0.0692,0.087,0.115698,14.9888,15.9977,0.937,0.766,5,185659006,slurm-scripts/wholeset/dts_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,BPHmin
8_62831971,0.9955,3.204339,0.0643,0.072,0.077,0.1400446,15.4817,16.5422,0.936,0.857,8,62831971,slurm-scripts/wholeset/dts_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,BPHmin
7_136374387,-2.017,1.644233,0.6199,0.6237,0.324,1.782117,-3.25313,2.65212,1.227,0.974,7,136374387,slurm-scripts/wholeset/dts_MPH_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,MPH
1_265449758,2.326,2.154703,0.6791,0.6828,0.123,1.171194,3.42515,2.62887,1.303,0.904,1,265449758,slurm-scripts/wholeset/dts_MPH_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,MPH
10_4690852,0.585,1.162049,0.0862,0.0943,0.195,0.1076143,6.78601,7.01424,0.967,0.974,10,4690852,slurm-scripts/wholeset/dts_perse_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,perse
1_265420195,-1.566,3.121385,0.2155,0.2349,0.101,0.444174,-7.26503,7.45143,0.975,0.965,1,265420195,slurm-scripts/wholeset/dts_perse_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,perse
1_74773320,-5.608,12.91792,0.873,0.8738,0.277,12.58542,-6.42437,3.56546,1.802,0.993,1,74773320,slurm-scripts/wholeset/dts_perse_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,perse
2_44440135,-0.5114,1.492833,0.1103,0.1206,0.42,0.127414,-4.63685,4.83197,0.96,0.996,2,44440135,slurm-scripts/wholeset/dts_perse_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,perse
3_156635092,-0.8203,1.736741,0.125,0.1386,0.189,0.2059578,-6.56211,6.92718,0.947,0.983,3,156635092,slurm-scripts/wholeset/dts_perse_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,perse
8_118869879,1.149,2.642482,0.2032,0.2123,0.206,0.4322021,5.65606,5.70804,0.991,0.991,8,118869879,slurm-scripts/wholeset/dts_perse_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,perse
8_159186849,0.6035,1.438082,0.123,0.1709,0.292,0.1507096,4.90633,5.03241,0.975,0.99,8,159186849,slurm-scripts/wholeset/dts_perse_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,perse
10_146968652,-0.7009,1.923346,0.1157,0.1323,0.246,0.182346,-6.05788,6.23815,0.971,0.943,10,146968652,slurm-scripts/wholeset/dts_perse_1d2.mrkRes1,slurm-scripts/wholeset/dts,1d2.mrkRes1,perse
10_1158283,-17.28,198.3381,0.2222,0.232,0.008,4.933981,-77.7585,79.4369,0.979,0.647,10,1158283,slurm-scripts/wholeset/eht_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,BPHmin
10_134430491,0.9406,11.49632,0.0334,0.044,0.245,0.327052,28.1626,30.4412,0.925,0.941,10,134430491,slurm-scripts/wholeset/eht_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,BPHmin
10_141950645,0.9201,11.13441,0.0212,0.0288,0.178,0.2477607,43.4001,47.6534,0.911,0.908,10,141950645,slurm-scripts/wholeset/eht_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,BPHmin
10_2129313,-4.245,51.88938,0.0669,0.0765,0.009,0.3246839,-63.4553,67.219,0.944,0.631,10,2129313,slurm-scripts/wholeset/eht_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,BPHmin
1_279421560,1.085,14.60697,0.0246,0.0371,0.108,0.227373,44.0999,47.37,0.931,0.864,1,279421560,slurm-scripts/wholeset/eht_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,BPHmin
3_229657863,0.6934,12.42922,0.0169,0.0279,0.19,0.1480817,41.0296,43.0928,0.952,0.941,3,229657863,slurm-scripts/wholeset/eht_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,BPHmin
4_231205916,0.5551,5.453701,0.0283,0.0422,0.378,0.1449242,19.6165,20.4421,0.96,0.966,4,231205916,slurm-scripts/wholeset/eht_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,BPHmin
4_240836539,1.14,16.38323,0.018,0.0322,0.041,0.1019677,63.3292,68.7146,0.922,0.681,4,240836539,slurm-scripts/wholeset/eht_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,BPHmin
4_77859805,1.08,22.30351,0.023,0.0324,0.195,0.3666914,46.9472,50.9698,0.921,0.969,4,77859805,slurm-scripts/wholeset/eht_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,BPHmin
6_132955573,-1.084,21.95513,0.0311,0.0397,0.17,0.3308396,-34.84,37.0243,0.941,0.969,6,132955573,slurm-scripts/wholeset/eht_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,BPHmin
6_159680540,0.6657,14.74972,0.0225,0.0339,0.24,0.1617123,29.5847,31.7788,0.931,0.97,6,159680540,slurm-scripts/wholeset/eht_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,BPHmin
8_13797944,-0.7542,20.93861,0.0191,0.0297,0.219,0.1945475,-39.4876,41.6086,0.949,0.962,8,13797944,slurm-scripts/wholeset/eht_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,BPHmin
10_117989226,0.5143,5.284625,0.0368,0.0473,0.383,0.1249417,13.9746,14.7269,0.949,0.93,10,117989226,slurm-scripts/wholeset/eht_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,BPHmin
1_105146102,0.5747,5.866941,0.0212,0.032,0.214,0.1109651,27.1077,29.4821,0.919,0.725,1,105146102,slurm-scripts/wholeset/eht_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,BPHmin
1_17666911,0.5358,6.878994,0.0418,0.051,0.606,0.1370857,12.8184,13.3863,0.958,0.952,1,17666911,slurm-scripts/wholeset/eht_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,BPHmin
1_224237003,1.403,16.26971,0.0969,0.1072,0.265,0.7672135,14.4802,14.9106,0.971,0.962,1,224237003,slurm-scripts/wholeset/eht_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,BPHmin
1_282466668,0.6772,8.501997,0.0258,0.0395,0.129,0.102922,26.2494,27.9382,0.94,0.84,1,282466668,slurm-scripts/wholeset/eht_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,BPHmin
1_33468936,2.714,28.33636,0.0716,0.1366,0.077,1.050165,37.901,40.0557,0.946,0.767,1,33468936,slurm-scripts/wholeset/eht_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,BPHmin
1_33524128,1.614,16.01621,0.0528,0.136,0.127,0.5786752,30.5676,32.6255,0.937,0.821,1,33524128,slurm-scripts/wholeset/eht_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,BPHmin
1_53945279,1.253,12.27708,0.0365,0.0523,0.103,0.290174,34.3281,36.8792,0.931,0.752,1,53945279,slurm-scripts/wholeset/eht_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,BPHmin
1_64012126,1.029,8.117401,0.0478,0.0565,0.308,0.4516999,21.529,22.4104,0.961,0.89,1,64012126,slurm-scripts/wholeset/eht_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,BPHmin
